player,shot_seq,team,zone
Gyokeres,12,Arsenal FC,CeI
Gyokeres,13,Arsenal FC,CSD
Gyokeres,14,Arsenal FC,CeI
Gyokeres,15,Arsenal FC,CeM
Gyokeres,16,Arsenal FC,CID
Gyokeres,17,Arsenal FC,CeS
Gyokeres,18,Arsenal FC,CME
Gyokeres,19,Arsenal FC,CSE
Gyokeres,20,Arsenal FC,CID
Gyokeres,21,Arsenal FC,CID
Gyokeres,22,Arsenal FC,CSD
Gyokeres,23,Arsenal FC,CeI
Gyokeres,24,Arsenal FC,CID
Gyokeres,25,Arsenal FC,CIE
Gyokeres,26,Arsenal FC,CMD
Gyokeres,27,Arsenal FC,CSD
Gyokeres,28,Arsenal FC,CSE
Gyokeres,29,Arsenal FC,CID
Gyokeres,30,Arsenal FC,CID
de Jong,1,FC Porto,CSD
de Jong,2,FC Porto,CID
de Jong,3,FC Porto,CSD
de Jong,4,FC Porto,CeM
de Jong,5,FC Porto,CID
de Jong,6,FC Porto,CeI
de Jong,7,FC Porto,CID
de Jong,8,FC Porto,CeI
de Jong,9,FC Porto,CIE
de Jong,10,FC Porto,CSD
de Jong,11,FC Porto,CeM
de Jong,12,FC Porto,CME
de Jong,13,FC Porto,CSD
de Jong,14,FC Porto,CID
de Jong,15,FC Porto,CMD
de Jong,16,FC Porto,CID
de Jong,17,FC Porto,CeI
de Jong,18,FC Porto,CID
de Jong,19,FC Porto,CIE
de Jong,20,FC Porto,CIE
de Jong,21,FC Porto,CIE
de Jong,22,FC Porto,CSD
de Jong,23,FC Porto,CID
de Jong,24,FC Porto,CeM
de Jong,25,FC Porto,CeS
de Jong,26,FC Porto,CeI
de Jong,27,FC Porto,CSD
de Jong,28,FC Porto,CID
de Jong,29,FC Porto,CID
de Jong,30,FC Porto,CID
Pepê,1,FC Porto,CSE
Pepê,2,FC Porto,CMD
Pepê,3,FC Porto,CID
Pepê,4,FC Porto,CSE
Pepê,5,FC Porto,CeM
Pepê,6,FC Porto,CeI
Pepê,7,FC Porto,CMD
Pepê,8,FC Porto,CMD
Pepê,9,FC Porto,CMD
Pepê,10,FC Porto,CME
Pepê,11,FC Porto,CME
Pepê,12,FC Porto,CIE
Pepê,13,FC Porto,CIE
Pepê,14,FC Porto,CeI
Pepê,15,FC Porto,CID
Pepê,16,FC Porto,CeM
Pepê,17,FC Porto,CeM
Pepê,18,FC Porto,CIE
Pepê,19,FC Porto,CMD
Pepê,20,FC Porto,CMD
Pepê,21,FC Porto,CIE
Pepê,22,FC Porto,CID
Pepê,23,FC Porto,CME
Pepê,24,FC Porto,CME
Pepê,25,FC Porto,CSE
Pepê,26,FC Porto,CMD
Pepê,27,FC Porto,CSE
Pepê,28,FC Porto,CeM
Pepê,29,FC Porto,CeM
Pepê,30,FC Porto,CME
